Date,Source URL,Country,Source label,Hospital admissions with moderate to severe symptoms (weekly),Hospital admissions (weekly)
2021-10-30,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=717690&cg_code=&act=view&nPage=26,South Korea,Korea DCA,212,2858
2021-11-06,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=717844&cg_code=&act=view&nPage=23,South Korea,Korea DCA,263,3335
2021-11-13,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=717844&cg_code=&act=view&nPage=23,South Korea,Korea DCA,339,3283
2021-11-20,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=717844&cg_code=&act=view&nPage=23,South Korea,Korea DCA,346,3649
2021-11-27,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718082&cg_code=&act=view&nPage=16,South Korea,Korea DCA,477,4322
2021-12-04,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718082&cg_code=&act=view&nPage=16,South Korea,Korea DCA,530,4716
2021-12-11,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718251&cg_code=&act=view&nPage=12,South Korea,Korea DCA,615,5623
2021-12-18,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718319&cg_code=&act=view&nPage=10,South Korea,Korea DCA,621,5417
2021-12-25,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718319&cg_code=&act=view&nPage=10,South Korea,Korea DCA,649,4648
2022-01-01,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718415&cg_code=&act=view&nPage=8,South Korea,Korea DCA,565,3670
2022-01-08,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718514&cg_code=&act=view&nPage=6,South Korea,Korea DCA,440,2970
2022-01-15,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718562&cg_code=&act=view&nPage=4,South Korea,Korea DCA,309,3022
2022-01-22,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718660&cg_code=&act=view&nPage=2,South Korea,Korea DCA,225,4070
2022-01-29,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718660&cg_code=&act=view&nPage=2,South Korea,Korea DCA,167,6199
2022-02-05,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718660&cg_code=&act=view&nPage=2,South Korea,Korea DCA,133,8447
2022-02-12,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718660&cg_code=&act=view&nPage=2,South Korea,Korea DCA,232,9600
2022-02-21,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718747&cg_code=&act=view&nPage=1,South Korea,Korea DCA,367,9902
2022-02-28,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718838&cg_code=&act=view&nPage=1,South Korea,Korea DCA,655,12092
2022-03-07,https://www.kdca.go.kr/board/board.es?mid=a20501010000&bid=0015&list_no=718912&cg_code=&act=view&nPage=1,South Korea,Korea DCA,819,12193
